   0.0 TEL | Telepresence 0.92 launched at Thu Sep  6 14:29:05 2018
   0.0 TEL |   /usr/local/bin/telepresence --swap-deployment backend-service --expose 8080 --run go run main.go --mount false
   0.0 TEL | Platform: darwin
   0.0 TEL | Python 3.7.0 (default, Jul 23 2018, 20:22:55)
   0.0 TEL | [Clang 9.1.0 (clang-902.0.39.2)]
   0.0 TEL | [1] Running: uname -a
   0.0   1 | Darwin AMAC02WG135HTD6 17.7.0 Darwin Kernel Version 17.7.0: Thu Jun 21 22:53:14 PDT 2018; root:xnu-4570.71.2~1/RELEASE_X86_64 x86_64
   0.0 TEL | BEGIN SPAN main.py:41(main)
   0.0 TEL | BEGIN SPAN startup.py:57(__init__)
   0.0 TEL | [2] Capturing: kubectl version --short
   0.6 TEL | [3] Capturing: kubectl config current-context
   0.7 TEL | [4] Capturing: kubectl config view -o json
   0.8 TEL | Command: kubectl 1.11.1
   0.8 TEL | Context: k8s.lslondon.internal, namespace: telepresence-demo, version: 1.9.9
   0.8 TEL | END SPAN startup.py:57(__init__)    0.7s
   0.8 TEL | [5] Capturing: ssh -V
   0.8 TEL | [6] Running: sudo -n echo -n
   0.8 >>> | Starting proxy with method 'vpn-tcp', which has the following limitations: All processes are affected, only one telepresence can run per machine, and you can't use other VPNs. You may need to add cloud hosts and headless services with --also-proxy. For a full list of method limitations see https://telepresence.io/reference/methods.html
   0.9 >>> | Volumes are rooted at $TELEPRESENCE_ROOT. See https://telepresence.io/howto/volumes.html for details.
   0.9 TEL | [7] Capturing: kubectl --context k8s.lslondon.internal --namespace telepresence-demo get pods telepresence-connectivity-check --ignore-not-found
   2.1 TEL | Scout info: {'latest_version': '0.92', 'application': 'telepresence', 'notices': []}
   2.1 TEL | BEGIN SPAN deployment.py:120(supplant_deployment)
   2.1 TEL | BEGIN SPAN remote.py:74(get_deployment_json)
   2.1 TEL | [8] Capturing: kubectl --context k8s.lslondon.internal --namespace telepresence-demo get deployment -o json --export backend-service
   2.6 TEL | END SPAN remote.py:74(get_deployment_json)    0.5s
   2.6 TEL | [9] Running: kubectl --context k8s.lslondon.internal --namespace telepresence-demo delete deployment backend-service-4c6ed1a93346454a953dfbdfeb54ea5a --ignore-not-found
   3.2 TEL | [10] Running: kubectl --context k8s.lslondon.internal --namespace telepresence-demo apply -f -
   4.1  10 | deployment.extensions/backend-service-4c6ed1a93346454a953dfbdfeb54ea5a created
   4.1 TEL | [11] Running: kubectl --context k8s.lslondon.internal --namespace telepresence-demo scale deployment backend-service --replicas=0
   4.7  11 | deployment.extensions/backend-service scaled
   4.7 TEL | END SPAN deployment.py:120(supplant_deployment)    2.6s
   4.7 TEL | BEGIN SPAN remote.py:153(get_remote_info)
   4.7 TEL | BEGIN SPAN remote.py:74(get_deployment_json)
   4.7 TEL | [12] Capturing: kubectl --context k8s.lslondon.internal --namespace telepresence-demo get deployment -o json --export --selector=telepresence=4c6ed1a93346454a953dfbdfeb54ea5a
   5.2 TEL | END SPAN remote.py:74(get_deployment_json)    0.5s
   5.2 TEL | Searching for Telepresence pod:
   5.2 TEL |   with name backend-service-4c6ed1a93346454a953dfbdfeb54ea5a-*
   5.2 TEL |   with labels {'app': 'backend-service', 'telepresence': '4c6ed1a93346454a953dfbdfeb54ea5a'}
   5.2 TEL | [13] Capturing: kubectl --context k8s.lslondon.internal --namespace telepresence-demo get pod -o json --export --selector=telepresence=4c6ed1a93346454a953dfbdfeb54ea5a
   5.8 TEL | Checking backend-service-4c6ed1a93346454a953dfbdfeb54ea5a-6b5bd65f77lbfd
   5.8 TEL | Looks like we've found our pod!
   5.8 TEL | BEGIN SPAN remote.py:112(wait_for_pod)
   5.8 TEL | [14] Capturing: kubectl --context k8s.lslondon.internal --namespace telepresence-demo get pod backend-service-4c6ed1a93346454a953dfbdfeb54ea5a-6b5bd65f77lbfd -o json
   6.2 TEL | END SPAN remote.py:112(wait_for_pod)    0.5s
   6.2 TEL | END SPAN remote.py:153(get_remote_info)    1.5s
   6.2 TEL | BEGIN SPAN __init__.py:38(connect)
